text,labels
"The food sucked, which we expected but it sucked more than we could have imagined.",0
"Very, very sad.",0
What a mistake that was!,0
"Plus, it's only 8 bucks.",1
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1
The food was terrible.,0
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0
The management is rude.,0
Cooked to perfection and the service was impeccable.,1
Best tacos in town by far!!,1
Restaurant is always full but never a wait.,1
Have been going since 2007 and every meal has been awesome!!,1
We waited an hour for what was a breakfast I could have done 100 times better at home.,0
I would recommend saving room for this!,1
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0
This greedy corporation will NEVER see another dime from me!,0
This is a good joint.,1
"Strike 2, who wants to be rushed.",0
did not like at all.,0
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0
Both great!,1
I will not return.,0
This one is simply a disappointment.,0
The crêpe was delicate and thin and moist.,1
"On the up side, their cafe serves really good food.",1
"Our waiter was very attentive, friendly, and informative.",1
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1
walked in and the place smelled like an old grease trap and only 2 others there eating.,0
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1
I dressed up to be treated so rudely!,0
I would avoid this place if you are staying in the Mirage.,0
Their daily specials are always a hit with my group.,1
Best tater tots in the southwest.,1
Never going back.,0
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0
They have great dinners.,1
"Their menu is diverse, and reasonably priced.",1
Avoid at all cost!,0
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1
We won't be returning.,0
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0
you can watch them preparing the delicious food!),1
"I'd rather eat airline food, seriously.",0
The sweet potato fries were very good and seasoned well.,1
Ambience is perfect.,1
The service was meh.,0
I love the fact that everything on their menu is worth it.,1
"Good value, great food, great service.",1
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1
The bathrooms are clean and the place itself is well decorated.,1
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0
"Needless to say, I won't be going back anytime soon.",0
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0
"Needless to say, we will never be back here again.",0
I really enjoyed eating here.,1
"Very good, though!",1
The Burrittos Blah!,0
But now I was completely grossed out.,0
They have a really nice atmosphere.,1
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0
Everything was fresh and delicious!,1
5 stars for the brick oven bread app!,1
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
"The chicken dishes are OK, the beef is like shoe leather.",0
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1
Their frozen margaritas are WAY too sugary for my taste.,0
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0
We waited for forty five minutes in vain.,0
Now this dish was quite flavourful.,1
The food is good.,1
It was just not a fun experience.,1
This is a great restaurant at the Mandalay Bay.,1
We were sat right on time and our server from the get go was FANTASTIC!,1
Eclectic selection.,1
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0
"He also came back to check on us regularly, excellent service.",1
This place deserves no stars.,0
Last night was my second time dining here and I was so happy I decided to go back!,1
Spend your money and time some place else.,0
The shrimp tender and moist.,1
How awesome is that.,1
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0
"Friend's pasta -- also bad, he barely touched it.",0
My ribeye steak was cooked perfectly and had great mesquite flavor.,1
"Phenomenal food, service and ambiance.",1
Their chow mein is so good!,1
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0
The refried beans that came with my meal were dried out and crusty and the food was bland.,0
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1
I swung in to give them a try but was deeply disappointed.,0
Not my thing.,0
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0
So flavorful and has just the perfect amount of heat.,1
This place was such a nice surprise!,1
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1
Service is also cute.,1
My wife had the Lobster Bisque soup which was lukewarm.,0
Very poor service.,0
The steaks are all well trimmed and also perfectly cooked.,1
I found this place by accident and I could not be happier.,1
Boy was that sucker dry!!.,0
They brought a fresh batch of fries and I was thinking yay something warm but no!,0
Very bad Experience!,0
I was seated immediately.,1
Don't bother coming here.,0
It shouldn't take 30 min for pancakes and eggs.,0
The turkey and roast beef were bland.,0
"It was attached to a gas station, and that is rarely a good sign.",0
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1
Pretty awesome place.,1
"The staff is great, the food is delish, and they have an incredible beer selection.",1
You won't be disappointed.,1
"The sangria was about half of a glass wine full and was $12, ridiculous.",0
This place is hands-down one of the best places to eat in the Phoenix metro area.,1
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1
By this time our side of the restaurant was almost empty so there was no excuse.,0
"Every time I eat here, I see caring teamwork to a professional degree.",1
I've had better bagels from the grocery store.,0
The portion was huge!,1
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0
The manager was the worst.,0
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0
Will not be back!,0
The cashew cream sauce was bland and the vegetables were undercooked.,0
"Point your finger at any item on the menu, order it and you won't be disappointed.",1
"Very good food, great atmosphere.1",1
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
"Great food and service, huge portions and they give a military discount.",1
The food was terrible.,0
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0
I left with a stomach ache and felt sick the rest of the day.,0
Overall I wasn't very impressed with Noca.,0
I won't be back.,0
We sat another ten minutes and finally gave up and left.,0
I can't wait to go back.,1
If there were zero stars I would give it zero stars.,0
I love the Pho and the spring rolls oh so yummy you have to try.,1
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0
It kept getting worse and worse so now I'm officially done.,0
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1
I will be back many times soon.,1
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0
Why are these sad little vegetables so overcooked?,0
"For a self proclaimed coffee cafe, I was wildly disappointed.",0
"The decor is nice, and the piano music soundtrack is pleasant.",1
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1
"The staff are great, the ambiance is great.",1
Great food and great service in a clean and friendly setting.,1
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1
I wouldn't return.,0
Any grandmother can make a roasted chicken better than this one.,0
Would not go back.,0
This place is great!!!!!!!!!!!!!!,1
Soggy and not good.,0
"Food was good, service was good, Prices were good.",1
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0
"The food is about on par with Denny's, which is to say, not good at all.",0
The scallop dish is quite appalling for value as well.,0
Just don't know why they were so slow.,0
Went for lunch - service was slow.,0
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0
"The chains, which I'm no fan of, beat this place easily.",0
They were golden-crispy and delicious.,1
The service was a bit lacking.,0
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
Your staff spends more time talking to themselves than me.,0
The warm beer didn't help.,0
This place should honestly be blown up.,0
I as well would've given godfathers zero stars if possible.,0
Good Service-check!,1
Total brunch fail.,0
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
My girlfriend's veal was very bad.,0
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0
"Frozen pucks of disgust, with some of the worst people behind the register.",0
"Oh this is such a thing of beauty, this restaurant.",1
My drink was never empty and he made some really great menu suggestions.,1
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1
We won't be going back anytime soon!,0
One of the few places in Phoenix that I would definately go back to again .,1
They really want to make your experience a good one.,1
I will come back here every time I'm in Vegas.,1
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1
Each day of the week they have a different deal and it's all so delicious!,1
The seasonal fruit was fresh white peach puree.,1
Service is quick and friendly.,1
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1
This place is awesome if you want something light and healthy during the summer.,1
We enjoy their pizza and brunch.,1
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
Awful service.,0
I consider this theft.,0
"Service is quick and even ""to go"" orders are just like we like it!",1
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1
Service was fine and the waitress was friendly.,1
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1
"Give it a try, you will be happy you did.",1
Hands down my favorite Italian restaurant!,1
"Worst service to boot, but that is the least of their worries.",0
This is the place where I first had pho and it was amazing!!,1
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0
They also have the best cheese crisp in town.,1
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0
The price is reasonable and the service is great.,1
I probably would not go here again.,0
"As for the service, I thought it was good.",1
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1
"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1
2 times - Very Bad Customer Service !,0
I don't know what kind it is but they have the best iced tea.,1
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
Good prices.,1
Awesome selection of beer.,1
The only downside is the service.,0
Waitress was sweet and funny.,1
Maybe if they weren't cold they would have been somewhat edible.,0
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0
A great way to finish a great.,1
"The owner used to work at Nobu, so this place is really similar for half the price.",1
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
Worst martini ever!,0
My gyro was basically lettuce only.,0
Bacon is hella salty.,1
The last 3 times I had lunch here has been bad.,0
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1
I give it 2 thumbs down,0
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1
the staff is friendly and the joint is always clean.,1
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1
"The chips and salsa were really good, the salsa was very fresh.",1
I don't think I'll be running back to Carly's anytime soon for food.,0
Def coming back to bowl next time,1
"For service, I give them no stars.",0
"Try them in the airport to experience some tasty food and speedy, friendly service.",1
This place lacked style!!,0
Check it out.,1
Never had anything to complain about here.,1
The bartender was also nice.,1
the presentation of the food was awful.,0
Generous portions and great taste.,1
"Unfortunately, it only set us up for disapppointment with our entrees.",0
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
But then they came back cold.,0
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
"I don't have very many words to say about this place, but it does everything pretty well.",1
I *heart* this place.,1
"Unfortunately, it was not good.",0
Won't go back.,0
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0
Great service and food.,1
It also took her forever to bring us the check when we asked for it.,0
Service stinks here!,0
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1
Everything was good and tasty!,1
"Sorry, I will not be getting food from here anytime soon :(",0
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1
Please stay away from the shrimp stir fried noodles.,0
It was delicious!!!,1
So we went to Tigerlilly and had a fantastic afternoon!,1
Once your food arrives it's meh.,0
Waited and waited and waited.,0
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0
The black eyed peas and sweet potatoes... UNREAL!,1
Very good lunch spot.,1
I recently tried Caballero's and I have been back every week since!,1
The staff was very attentive.,1
"Your servers suck, wait, correction, our server Heimer sucked.",0
Worst food/service I've had in a while.,0
"This place is pretty good, nice little vibe in the restaurant.",1
It was not good.,0
"You get incredibly fresh fish, prepared with care.",1
This is a really fantastic Thai restaurant which is definitely worth a visit.,1
For that price I can think of a few place I would have much rather gone.,0
We loved the place.,1
Im in AZ all the time and now have my new spot.,1
This place receives stars for their APPETIZERS!!!,1
Talk about great customer service of course we will be back.,1
I was shocked because no signs indicate cash only.,0
"We had fantastic service, and were pleased by the atmosphere.",1
I just wanted to leave.,0
There was a warm feeling with the service and I felt like their guest for a special treat.,1
It was a pale color instead of nice and char and has NO flavor.,0
Great place to relax and have an awesome burger and beer.,1
We will not be coming back.,0
DELICIOUS!!,1
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0
Probably not in a hurry to go back.,0
The food was very good.,1
Pretty good beer selection too.,1
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1
Con: spotty service.,0
I don't think we'll be going back anytime soon.,0
I can say that the desserts were yummy.,1
Great time - family dinner on a Sunday night.,1
Those burgers were amazing.,1
It was pretty gross!,0
Our server was very nice and attentive as were the other serving staff.,1
"not even a ""hello, we will be right with you.""",0
